499, Rannamõisa Harjumaa, 59.3700, 24.3897
500, Rannu Tartumaa, 58.3561, 26.4156
501, Rannu vald Tartumaa, 58.377, 26.289
502, Rapina vald Vorumaa, 58.1051, 27.462
503, Rapla vald Harjumaa, 58.9999, 24.805
504, Rapla, 59.005, 24.792
505, Rapla Harjumaa, 59.007, 24.792
506, Rasina vald Tartumaa, 58.4573, 26.411
507, Rattama talu Viljandimaa, 58.4722, 25.4064
508, Ravila Harjumaa, 59.2849, 24.8602
509, Rebase Kaagjarve Valgamaa, 57.7766, 26.1865
510, Reigi Hiiumaa, 58.866, 22.618
511, Reiu Parnumaa, 58.3792, 24.4782
512, Reiu vald Pärnumaa, 58.5019, 24.47962
513, Ridala Läänemaa, 58.9293, 23.7779
514, Riia, 56.9496, 24.1052
515, Riidaja Viljandimaa, 58.3639, 25.2604
516, Riidaja vald Viljandimaa, 58.3021, 25.3723
517, Risti Harjumaa, 59.025, 24.176
518, Ristimae kula Undla Virumaa, 59.0032, 27.592
519, Roela Tartumaa, 58.7022, 26.3647
520, Roela Virumaa, 59.3001, 26.635
521, Roela vald Tartumaa, 58.7998, 26.1659e
522, Roela vald Viljandimaa, 59.2837, 26.3536
523, Roela vald Virumaa, 59.3664, 26.4285
524, Rongu kirikum Tartumaa, 58.30962, 26.64904
525, Rongu vald Tartumaa, 58.221, 26.430
526, Rongu, 58.210, 26.455
527, Rongu Tartumaa, 58.207, 26.486
528, Ropka vald Tartumaa, 58.411, 26.716
529, Ruhja alev Latvia, 57.2902, 25.9362
530, Räpina vald Tartumaa, 58.096, 27.467
531, Räpina vald Võrumaa, 58.0956, 27.4701
532, Rõngu vald Tartumaa, 58.2459, 26.2617
533, Rõuge vald Võrumaa, 57.7332, 26.9951
534, Rõuge Võrumaa, 57.7324, 26.9955
535, Saadjarve vald Tartumaa, 58.3290, 26.3720
536, Saadjärve vald Tartumaa, 58.12156, 26.4229
537, Saadjärve Tartumaa, 58.4308, 26.7591
538, Saaremaa, 58.4908, 22.7678
539, Saksi vald Virumaa, 59.222, 26.840
540, Saku Harjumaa, 59.3136, 24.6524
